,Tweet No.,Final Summary
0,243,"NEW: Updated #Irma track, takes it as a major hurricane over southeast FL Saturday night then to SC/GA coast #WBZ https://t.co/e0dB4zboJm
"
1,252,"#IRMA HEADLINES:Hurricane Watch likely today. Time Period: Friday PM-Monday AM Threats: Winds, Storm Surge, Flooding https://t.co/8gaNoDnwDH
"
2,506,"Toppled trailer homes in Big Pine Key post Irma (zoom in). Armies of SoFla police departments are helping with reli https://t.co/mobueOM5e2
"
3,517,"Maria expected to bring max winds of 120mph to Puerto Rico and Dominican Republic. Track is just south of Irma's. https://t.co/aYeQtEzFAZ
"
4,595,"PR-MA #4 Fire Crew 57working to remove trees from roadways on ST Road 9966 Div D @ElYunqueNF due to Hurricane Irma https://t.co/KP93JziApz
"
5,714,"Coast Guard Investigative Service Agents inspect sailboats damaged by Hurricane Irma in Key West, Florida. https://t.co/HXuUFPYafx
"
6,727,"8(9/17) Overnight ~ 9,300 ppl stayed in #RedCross &amp; parnter shelters. In the last 3 wks ~2.7 million meals/snacks s https://t.co/l9e9kVkeUU
"
7,771,"Hurricane Irma #Spared real estate #Market big damage, caused minor construction, closing delays https://t.co/XZpiks7gBk
"
8,795,"LXX Sqn A400M moving aid and capabilities that will retain law and order in the worse struck islands including BVIs https://t.co/vcDpk33dcH
"
9,817,"All eyes on Maria as it heads over simliar islands that got hit with Irma. Sending Fto them, as we watch it closely https://t.co/WAPGEUcPKW
"
10,838,"Monday 09Z: Plot of NHC &gt;50% risk of hurricane-force winds by #Maria vs #Irma hurricane-force footprint. Fingers cr https://t.co/TfTQr4RCLR
"
11,872,"Boat and car mechanics in high demand after storms, Harvey and Irma rip through Texas and La. Gulf, Fla., coastal S https://t.co/kkASvxKjnr
"
12,942,"Worst of Irma stayed north of Puerto Rico earlier this month. Maria's path may be a direct hit for the island. Tra https://t.co/et3uSBi6IZ
"
13,989,".@CenturyLink offers free call forwarding, waives late fees, and more for #Florida customers impacted by #Irma https://t.co/ViK4k9OPh9
"
14,1020,"No wonder my modem wont stay connected after #Irma. Quality, well managed wiring, Spectrum! @Ask_Spectrum https://t.co/lqUqkRapM5
"
15,1044,"TAKE ACTION TO MINIMIZE MOLD AND DAMPNESS AFTER HURRICANE IRMA https://t.co/nGveu6bDXz https://t.co/LvHv0xF1q9
"
16,1110,"This is the old Bimini Beach Club, aka Sunshine Inn, aka Mackeys Bar after Irma's South Wind https://t.co/iapmPspvKa
"
17,1125,"@OSI46 @AdamKlotzFNC @trumps_feed @foxandfriends YOU MEAN GLOBAL WARMING LIES TRICK WERE ON2 U,2005 WORST YEAR RECO https://t.co/EzHptdIwSO
"
18,1258,"UNs Global Emergency Response Fund enables humanitarians to provide urgent aid for victims of Hurricane Irma: https://t.co/lyIIDB76aX
"
19,1310,"Providing food and water in Irma impacted neighborhoods in Yulee today! Please come see us if you need a meal! #Irma https://t.co/eQSGxtwFPO
"
20,1335,"Some FIU students staying in campus shelter after dorm damaged by Hurricane #Irma: https://t.co/pV5XB2xHR6 https://t.co/6NHKHtmFwb
"
21,1388,"Cuba announces program to repair Irma-damaged homes as experts assess damage to economy https://t.co/m2nRmsW73j https://t.co/iVnBT5zc3Z
"
22,1444,"In 2007, Felix made landfall in Nicaragua, that year's 2nd cat 5 landfall. Almost exactly 10 years later, Irma &amp; Ma https://t.co/l2k47SY6pi
"
23,1470,"Operation BBQ Relief mobilized in South Florida &amp; has made 63,400 meals for 1st responders &amp; those in need. (PicsOp https://t.co/DGTSYEypZ1
"
24,1472,"Here's the expected path. P.R. is the red slash @2 pm Wed. Maria's central pressure is 925 mb--extremely low &amp; simi https://t.co/4OJ3ojKEzx
"
25,1540,"Fort Pierce City Manager updates efforts to help Sabal Chase residents, still displaced from Irma https://t.co/OfZjj8vEVP
"
26,1597,"SEREMBAN FLOODED. PENANG MCA DONT MAKE A FOOL OF URSELF. CLIMATE CHANGE HAPPENING. LOOK AT IRMA IN THE US. DON ACT https://t.co/7rHm7OkszH
"
27,1601,"IRMA INSURANCE CLAIMS: Estimated losses total more than $1.9 billion so far. Event today to help file claims, answe https://t.co/tHHVRXYh2e
"
28,1609,"Valuable visit 2 Virgin Islands. Meeting w/GOV Mapp, survey of H'cane Irma damage, planning 4 Maria. Thinking of th https://t.co/uTPD94quXc
"
29,1647,"Disaster Services Corporation, on the ground w/ Joe Sabatino of Diocese of Venice, helping w/Irma assessments. https://t.co/HomPYV3Vh8
"
30,1652,"Lakeland sisters both face possible loss of houses from effects of Hurricane Irma: fallen tree, flooding. My story: https://t.co/zuKLGXYkoD
"
31,1842,"Update: Tim Duncans Hurricane Irma Relief Campaign Raises $2.5 Million on YouCaring https://t.co/q5ZNBitPnx https://t.co/smPzxffGaA
"
32,1866,"Orlando Magic &amp; Solar Bears players and staff gather to prepare food bags and hygiene products for needy in afterma https://t.co/kkENI2C27k
"
33,1915,"PPR volunteers, Jill &amp; Kimberly, at Parc Pet Suites, are caring for Hurricane Irma dogs that continue to arrive https://t.co/NiJSPR8Llq
"
34,1928,"Two @FEMA programs to help with #Irma recovery OPERATION BLUE ROOF: https://t.co/Fxec9GkPPu CREWS CANVASSING: https://t.co/PJbVWeMyzE
"
35,1989,"Humane Society of Greater Miami suffers $500,000 in losses after Irma! To make a donation visit https://t.co/n3EUALznwb
"
36,2015,"Any #Florida ppl w/Landscape&amp; Arbor or Heavy Equipment exp who want to help cleanup after #Irma AND get paid, apply https://t.co/El0B4zYzO6
"
